Date,Time,Address,Players,Max Players,Version
2021-02-08,02:50:52.324010,51.79.37.206:2303,80,99,2.00.146773
2021-02-08,02:55:53.509409,51.79.37.206:2303,85,99,2.00.146773
2021-02-08,03:00:54.914960,51.79.37.206:2303,85,99,2.00.146773
2021-02-08,03:05:55.745730,51.79.37.206:2303,89,99,2.00.146773
2021-02-08,03:20:45.201729,51.79.37.206:2303,94,99,2.00.146773
2021-02-08,03:25:46.404350,51.79.37.206:2303,98,99,2.00.146773
2021-02-08,03:30:47.207693,51.79.37.206:2303,98,99,2.00.146773
2021-02-08,03:35:48.226845,51.79.37.206:2303,84,99,2.00.146773
2021-02-08,03:40:49.175182,51.79.37.206:2303,86,99,2.00.146773
2021-02-08,03:45:50.435169,51.79.37.206:2303,91,99,2.00.146773
2021-02-08,03:50:51.706255,51.79.37.206:2303,94,99,2.00.146773
2021-02-08,03:55:52.278743,51.79.37.206:2303,91,99,2.00.146773
2021-02-08,04:00:53.392166,51.79.37.206:2303,91,99,2.00.146773
2021-02-08,04:05:54.628128,51.79.37.206:2303,94,99,2.00.146773
2021-02-08,04:10:55.199151,51.79.37.206:2303,95,99,2.00.146773
2021-02-08,04:15:56.375623,51.79.37.206:2303,91,99,2.00.146773
2021-02-08,04:20:57.530233,51.79.37.206:2303,99,99,2.00.146773
2021-02-08,04:25:58.969697,51.79.37.206:2303,98,99,2.00.146773
2021-02-08,04:30:59.707505,51.79.37.206:2303,98,99,2.00.146773
2021-02-08,04:36:00.977698,51.79.37.206:2303,99,99,2.00.146773
2021-02-08,04:46:14.332981,51.79.37.206:2303,95,99,2.00.146773
2021-02-08,04:51:15.485219,51.79.37.206:2303,89,99,2.00.146773
2021-02-08,04:56:16.172676,51.79.37.206:2303,91,99,2.00.146773
2021-02-08,05:01:17.370449,51.79.37.206:2303,91,99,2.00.146773
2021-02-08,05:06:18.288104,51.79.37.206:2303,91,99,2.00.146773
2021-02-08,05:11:19.452444,51.79.37.206:2303,92,99,2.00.146773
2021-02-08,05:16:24.635182,51.79.37.206:2303,93,99,2.00.146773
